Property_Name,Review_Rating,Number_of_Reviews
45 Park Lane - Dorchester Collection,5,157
A To Z Hotel,5,10
Apex London Wall Hotel,5,1639
"Bulgari Hotel, London",5,384
Corinthia Hotel London,5,2442
"Hotel Xenia, Autograph Collection",5,972
London Guest House,5,89
"Mandarin Oriental Hyde Park, London",5,749
Marble Arch Hotel,5,13
Mondrian London at Sea Containers,5,3164
Newham Hotel,5,12
Rhodes Hotel,5,537
Ridgemount Hotel,5,709
The Dorchester,5,1321
The Lanesborough,5,286
The Rembrandt,5,1317
The Savoy,5,4257
"The Wellesley Knightsbridge, a Luxury Collection Hotel, London",5,269
